metric                           gpt-4.1-mini-2025-04-14     gpt-5.4-mini-2026-03-17
mean tokens/question                                3289                        3613
mean llm calls/question                              4.5                         5.2
mean seconds/question                                7.5                         7.6
total reasoning tokens                                 0                           0
questions with errors                                  0                           0
determinism (repeat sigs)                            3/3                         1/3

Per-question answers (eyeball for sensibleness):

[WebQTrn-3525] where did mendeleev died  gold=['Saint Petersburg']
[WebQTrn-304_4ec9be4c828025d788bc5fb5ebca9e6e] What are the official languages of the country where the Federal Supreme Court of Switzerland is?  gold=['Italian Language', 'German Language', 'French', 'Romansh language']
   gpt-4.1-mini-2025-04-14    -> 'German Language, French, Italian Language, Romansh language'
   gpt-5.4-mini-2026-03-17    -> 'German Language, French, Italian Language, Romansh language'

[WebQTest-1520_5f93548592ef4987720d1e3f3fe6b3d7] What languages are spoken where teh Superior Court of Justice presides?  gold=['Italian Language', 'Brazilian Portuguese', 'Portuguese Language']
   gpt-4.1-mini-2025-04-14    -> 'Portuguese Language, Brazilian Portuguese, Italian Language'
   gpt-5.4-mini-2026-03-17    -> 'Portuguese Language, Brazilian Portuguese, Italian Language'

[WebQTrn-2027] what is daniel radcliffe name in the woman in black  gold=['Arthur Kipps']
   gpt-4.1-mini-2025-04-14    -> 'Arthur Kipps'
   gpt-5.4-mini-2026-03-17    -> 'Arthur Kipps'

[WebQTest-673_5ecefd82a413a79be541a1bd16967800] What university with a postgraduate class greater than 2656 did Robert Kardashian go to?  gold=['University of San Diego', 'University of Southern California']
   gpt-4.1-mini-2025-04-14    -> 'University of Southern California'
   gpt-5.4-mini-2026-03-17    -> 'University of Southern California'

[WebQTrn-1067_ed395c43c14a93f3e41c1758ec7e1b8a] Which senators are from the location, that has the government position titled ,Member of the New Jersey General Assembly?  gold=['Bob Menendez', 'Cory Booker']
   gpt-4.1-mini-2025-04-14    -> 'Information insufficient to determine which senators are from New Jersey.'
   gpt-5.4-mini-2026-03-17    -> 'Could not be determined from the provided facts.'

[WebQTrn-144] who is the president of the european union 2011  gold=['Jerzy Buzek']
   gpt-4.1-mini-2025-04-14    -> 'José Manuel Barroso'
   gpt-5.4-mini-2026-03-17    -> 'could not be determined'

[WebQTrn-3009_a453d9b2a3a3816e8ba70b1a240a4bdd] Which team for which Jim Harbaugh played were founded prior to 1996?  gold=['Chicago Bears', 'Indianapolis Colts', 'Michigan Wolverines football', 'San Diego Chargers']
   gpt-4.1-mini-2025-04-14    -> 'Chicago Bears, San Diego Chargers, Michigan Wolverines football, Indianapolis Colts'
   gpt-5.4-mini-2026-03-17    -> 'Could not be determined from the provided facts.'

[smoke-20] who directed the film Chronicles of Zxqvorn?  gold=[]
   gpt-4.1-mini-2025-04-14    -> 'could not be determined'
   gpt-5.4-mini-2026-03-17    -> 'could not be determined'
